File Name,Date,Time,Connector Name,Records,Duration (ms)
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:00:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:00:12,IncrementalLevelStructureConnector,0,12000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:00:21,IncrementalIndividualConnector,19,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:01:22,IncrementalVehicleConnector,399,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:02:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:02:10,IncrementalLevelStructureConnector,0,10000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:02:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:04:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:04:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:04:21,IncrementalIndividualConnector,19,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:05:16,IncrementalVehicleConnector,399,16000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:06:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:06:10,IncrementalLevelStructureConnector,0,10000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:06:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:08:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:08:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:08:22,IncrementalIndividualConnector,19,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:09:28,IncrementalVehicleConnector,399,28000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:10:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:10:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:10:22,IncrementalIndividualConnector,19,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:12:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:12:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:12:21,IncrementalIndividualConnector,19,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:13:25,IncrementalVehicleConnector,399,25000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:14:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:14:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:14:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:16:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:16:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:16:21,IncrementalIndividualConnector,19,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:17:19,IncrementalVehicleConnector,399,19000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:18:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:18:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:18:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:20:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:20:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:20:23,IncrementalIndividualConnector,19,23000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:21:21,IncrementalVehicleConnector,399,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:22:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:22:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:22:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:24:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:24:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:24:21,IncrementalIndividualConnector,19,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:25:19,IncrementalVehicleConnector,399,19000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:26:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:26:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:26:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:28:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:28:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:28:22,IncrementalIndividualConnector,19,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:29:17,IncrementalVehicleConnector,399,17000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:30:01,IncrementalSecurityConnector,0,1000
