Filename,Date,Time,Table,Corp,Fleet,Search Name,Search Data,Status,Rows,Work Flow Time,Search Time,Facet Time
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:01:41,,,,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:01:43,,,,Widget,table=vehicle,OK,1053702,2572,2338,228
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:02:21,,,,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:02:24,,,,Widget,make=Lexus:table=vehicle,OK,6691,2193,1843,234
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:02:40,,,,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:02:40,,,,Widget,model=9-3:make=Lexus:table=vehicle,OK,3254,873,543,226
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:02:56,,,,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:02:57,,,,Widget,model=9-3:city_name=Brampton:make=Lexus:table=vehicle,OK,1343,838,575,228
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:03:08,,,009732,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:03:09,,,009732,Widget,model=9-3:city_name=Brampton:make=Lexus:fleet_number=009732:table=vehicle,OK,272,799,562,230
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:03:26,,,009732,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:03:27,,,009732,Widget,level2=00a100:inventory_status=On+Road:model=9-3:city_name=Brampton:make=Lexus:fleet_number=009732:table=vehicle,OK,17,893,580,229
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:03:40,,,009732,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:03:41,,,009732,Widget,level2=00a100:inventory_status=On+Road:model=9-3:city_name=Brampton:year=2006:make=Lexus:fleet_number=009732:table=vehicle,OK,10,791,553,226
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:04:23,,,,table,individual,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:04:25,,,009732,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:04:25,,,,table,individual,OK,1,1825,1725,67
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:04:26,,,009732,Widget,level2=00a100:inventory_status=On+Road:model=9-3:city_name=Brampton:year=2006:make=Lexus:fleet_number=009732:mis_range=13+-+36:table=vehicle,OK,4,802,563,230
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:04:45,,,009732,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:04:46,,,009732,Widget,level2=00a100:inventory_status=On+Road:model=9-3:city_name=Brampton:year=2006:make=Lexus:fleet_number=009732:mis_range=13+-+36:table=vehicle,OK,4,514,506,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:04:46,,,009732,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:04:46,,,009732,Widget,level2=00a100:inventory_status=On+Road:model=9-3:city_name=Brampton:year=2006:make=Lexus:fleet_number=009732:mis_range=13+-+36:table=vehicle,OK,4,10,1,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:04:47,,,009732,table,vehicle,OK,0,0,0,0
c:\Attivio\VehiclePerson\queries.log.2012-11-08-10,08/Nov/2012,10:05:13,,,,table,vehicle,OK,0,0,0,0
