CORP,FLEET,UNIT,LOG
1,1915,792,554191
1,1915,792,554191
1,61,30162,1117775
1,8060,00S1234 ,2109633
1,8060,00N8146 ,2120406
98,80001,95326852,2594567
1,9865,61162,2930235
98,95750,98201068,3785133
98,72407,YMCO77  ,3870337
1,6655,3475,5203762
1,6359,0100269S,5294341
1,8231,0007632C,5362847
1,1851,143198,5479668
1,500800,1107285,5724526
1,500800,1957333,5725411
1,500333,1888710,5726848
1,503611,404020,5733640
1,503611,446254,5733708
1,503611,806010,5734068
1,503611,827462,5734355
1,503611,981507,5734695
1,503611,986440,5734752
1,503611,986466,5734754
1,503611,1075804,5734935
1,503611,1473454,5735180
1,503611,1613951,5735201
1,503611,1634163,5735355
1,503611,1651472,5735485
1,503611,1656464,5735519
1,503611,1661067,5735595
1,503611,1671107,5735700
1,503611,1676503,5735786
1,503611,1684580,5735844
1,503611,1685447,5735854
1,503611,1677171,5735860
1,503611,1677204,5735863
1,503611,1685166,5735888
1,503611,1685223,5735893
1,503611,1685273,5735896
1,503611,1689499,5735901
1,503611,1693151,5735916
1,503611,1693185,5735919
1,503611,1693242,5735923
1,503611,1700097,5735946
1,503611,1693250,5735975
1,503611,1703801,5736005
1,503611,1723388,5736107
1,503611,22824,5736576
1,503611,2335744,5736578
1,503611,5T531   ,5736658
1,503611,52212,5931224
1,6359,0110100D,5931343
1,8231,0007721C,6159500
1,8231,0007768C,6159551
1,3365,0020002T,6167230
1,503611,22243,6297890
1,503611,22261,6297892
1,503611,22267,6297893
1,503611,22877,6297897
1,503611,22678,6297898
1,503611,22865,6297940
1,503611,22289,6297945
1,503611,22859,6297949
1,500800,44115,6322706
1,3690,17584,6358043
1,500800,40397,6442209
98,94639,G02776V ,6450689
1,3381,26002,6497152
98,306852,NBC3    ,6569294
1,5868,300629,6573320
1,1875,20564,6600630
1,8425,31711,6612822
98,95750,20039912,6642192
1,1915,63113,6642645
1,599,33019,6716274
98,704876,147845,6732511
1,3703,20438,6766579
1,6655,3661,6768586
1,6655,3687,6768614
98,95962,20041370,6771585
1,3554,2379,6780237
98,250299,8382,6791624
1,1838,24053,6809824
1,3918,311617,6821507
1,6655,3772,6826794
1,5662,40038,6846468
1,4475,9834,6851772
1,8149,284411,6854899
1,4475,9791,6866788
1,4475,5706,6895021
1,4642,162,6903191
1,3468,44,6910441
1,3468,46,6910544
1,3703,605009,6942324
1,1915,64660,6955393
1,5868,500718,6966223
1,5868,500719,6966224
1,5868,500720,6966225
1,101896,10717521,6970462
1,104618,254H0129,6975359
1,1875,56820,6977884
1,1915,53752,6978371
1,4648,0054721N,6979215
98,72082,945561,6989034
1,3703,206004,6996371
98,250299,2790,7003175
1,3703,906007,7007616
1,5868,600234,7008159
1,102287,9862523,7012122
98,309235,61,7014078
1,5868,600292,7017870
98,309235,62,7024399
1,3943,1182,7085372
1,5868,600358,7086184
1,5868,600357,7086188
1,1915,9346,7095275
1,6111,38186,7096041
1,5868,600369,7129025
1,1838,90087,7130182
1,1838,50119,7132687
98,705539,1226,7135198
1,6359,0016118A,7142763
1,3703,206047,7147016
1,116710,347,7160092
1,3943,1193,7161598
1,3703,206069,7163470
1,5062,868811,7177279
1,8425,6189,7182808
1,8425,61816,7182824
1,4414,6000004,7188785
1,5868,600465,7197065
98,705539,1241,7198813
1,5868,600510,7214428
98,94639,6477U   ,7214440
1,3652,93333,7216760
1,5868,600558,7233266
1,123754,9951195,7237365
1,3703,206182,7238836
1,123754,9951192,7246476
1,3703,207055,7254202
1,5868,600588,7261597
1,150716,26518,7275129
1,4711,5,7275605
98,94639,6708V   ,7280862
1,4465,TD0836  ,7292917
1,3703,207093,7320188
1,5868,600682,7322794
1,3703,207108,7332174
1,61,47180,7342679
1,3943,1262,7344249
98,72459,12,7347534
1,123754,200718,7347834
1,104618,64H3771 ,7355472
1,150716,26561,7356481
1,5868,700275,7362987
1,3652,13145,7374597
1,3943,211,7383024
1,3943,1271,7392801
98,94639,7150V   ,7393647
1,5868,700363,7407180
1,6359,0017549S,7414130
1,5162,51647,7417750
1,6403,274285,7419155
98,61825,2007132,7419433
1,2209,0027239B,7419772
1,8199,27533,7436348
1,101446,SCC5046 ,7439301
1,116710,5080,7444287
1,3806,166848,7452981
1,3806,166724,7452982
1,3806,163398,7452985
1,3806,160097,7452986
1,1851,125894,7454456
1,4739,18709,7456376
1,5868,800121,7458015
1,9034,29064,7459930
98,255401,104,7463751
1,2344,274799,7464101
98,92688,20070086,7465861
1,1915,53963,7475303
98,314195,200730,7478836
98,314195,200747,7478868
1,116710,24123711,7481831
1,3806,A67781  ,7485764
1,61,47309,7485835
1,7427,27048,7504355
98,204309,324,7510357
1,3703,207586,7510806
1,100003,4006,7514630
1,6359,0017683S,7532636
98,705539,1350,7548029
1,5868,700440,7548130
1,3943,1292,7553027
1,3703,207589,7554614
1,3703,207312,7574291
1,5868,800157,7577052
1,3703,208015,7585602
1,3806,147228,7590030
1,3806,548038,7590046
1,3652,53328,7607499
98,303109,3806,7614271
1,2428,112235,7637596
1,5868,800283,7659438
1,5868,800222,7659691
1,5868,800231,7659700
1,4738,70420,7663484
1,3806,584916,7666091
1,3806,593943,7666092
1,8199,28247,7667022
1,358,82655,7671726
1,5868,800493,7673570
1,5868,800527,7679674
1,3806,602803,7682656
1,358,82924,7686221
1,358,32035,7692216
1,8199,370378,7700084
98,204244,A10380  ,7705695
1,3496,2407058,7718401
1,106088,27153,7765998
1,6403,276475,7776226
1,5778,277053,7776460
1,6403,276733,7776694
1,3640,28044,7778025
98,301893,200819,7779178
1,5778,277348,7790701
1,5778,277344,7790820
1,877,28033,7791801
1,1512,28007,7793392
1,3703,208182,7793647
1,3703,208185,7793650
1,5868,800705,7796988
1,5787,4987,7808189
98,308051,5,7815483
1,1187,48253,7819467
1,5868,800736,7826244
1,3640,2,7827241
1,3836,27008,7829088
1,5868,800775,7829237
1,5868,800761,7829268
1,4739,70114,7829435
98,308261,2008139,7832184
1,4936,317,7835996
1,4739,70115,7836497
1,2838,28871,7840982
1,4738,80610,7841686
1,3951,931,7843508
1,107867,105,7843870
98,75017,28366,7845840
1,251,84439,7847392
98,94785,20080002,7848537
1,5868,800863,7854086
98,73668,28105,7857823
1,5868,800870,7859516
1,7427,28765,7861078
1,108440,1039,7861746
