Date Entered,Time Entered,Date Due,Time Due,Type,Priority,Description,Contact,Comments,Date Complete,Time Complete,Status
2014/03/11,14:00:00,2014/03/11,14:00:00,Business,1,B2B Architecture?,Lilian/Baga/Neil/Tim March,,2014/03/12,09:48:42
2014/03/11,14:00:00,2014/03/12,08:35:23,Personal,1,Josh Zelda?,Josh,,2014/03/12,09:56:17
2014/03/11,14:00:00,2014/03/12,08:35:30,Personal,1,Rock Image,,,2014/03/12,10:12:04
2014/03/11,14:00:00,2014/03/11,14:00:00,Business,1,A-Jenkins Eclipse/Maven Setup,Igor,,2014/03/13,09:11:36,Late
2014/03/13,15:57:52,2014/03/14,09:30:00,Business,1,EA Approval Cloud,Shawn/Chad/Leroy,,2014/03/14,09:19:25,
2014/03/13,09:11:37,2014/03/17,14:11:00,Business,1,A-Jenkins Manual Testing,Mike,Going to run manually after attaching XMLParse to FortifyHandler code.,2014/03/18,16:55:34,Late
2014/03/14,13:58:31,2014/03/18,18:00:00,Business,2,B-Edit Review - Debug; English; Task Track - Michigan,Jose,Trip to Michigan planned for April 15/16.,2014/03/18,16:56:24,
2014/03/14,07:35:15,2014/03/18,12:35:00,Personal,1,ATAT Rock Quote,Chris,May the Force be with you,2014/03/18,17:00:03,Late
2014/03/11,14:00:00,2014/03/17,14:00:00,Personal,1,Get-in-Gear Payment,Fitness Center,Paid Jody $17.50 3/20/2014 at 12:00pm for the Get-in-Gear 10K ,2014/03/20,13:57:07,Late
2014/03/18,17:03:12,2014/03/19,14:00:00,Business,1,Telematics Driver ESB Service Now ticket open,Baga/Neil,email to Baga/Lilian for Baga to fill out the Service Now 3/20/2014 at 2:07pm,2014/03/20,14:04:32,Late
2014/03/18,17:07:14,2014/03/19,17:00:00,Business,1,Michigan Trip Plan 3/15?,Neil,email sent to Neil 3/20/2014 at 2:14PM.,2014/03/20,14:14:27,Late
2014/03/18,07:34:58,2014/03/21,07:00:00,Personal,2,Josh Taxes this Weekend,Josh,Text sent to Josh,2014/03/20,14:16:11,
2014/03/18,17:01:09,2014/03/19,10:00:00,Business,1,XMLParse code in FortifyHandler,Initial Coding Complete,Mike,2014/03/20,15:31:38,Late
2014/03/20,15:31:40,2014/03/21,15:00:00,Business,1,FortifyHandler merging 2 XML files,Mike,done,2014/03/21,11:49:29,
2014/03/20,16:59:31,2014/03/21,16:00:00,Business,2,Michigan Trip OK?,Neil,Neil response: It's up to you.  You are certainly welcome to go if you think it would help.,2014/03/21,11:50:18,
2014/03/20,16:59:45,2014/03/21,16:00:00,Business,2,Telematics ESB Work Depth?,Neil,Neil's response: The Telematics team and/or Jose's team should be able to handle that themselves.  There is nothing new or complex about ESB definitions. ,2014/03/21,11:50:53,
2014/03/20,17:01:44,2014/03/24,17:00:00,Business,3,PCI Review,Olivier,SAC-A was the closest match to GEFS Paypal processing.,03/24/14,08:31:56,
2014/03/24,11:57:56,2014/03/24,13:00:00,Business,3,FortifyHandler regular expression search using '*',Mike,Added '*' to GEString,03/24/14,11:58:41,
2014/03/24,14:28:23,2014/03/24,16:00:00,Business,3,Find all places that QTCNV119 (tc 40RA) is called,Sue Hjerpe,Found in VOS and MCC,03/24/14,14:29:17,
2014/03/24,17:02:25,2014/03/25,07:00:00,Business,3,FortifyHandler GEString "*> in Metadata doesn't work for merging data,,Added Start field to GEString.contains method to bypass first " in the string,03/25/14,10:59:29,Late
2014/03/24,13:05:12,2014/03/25,15:00:00,Business,3,FortifyHandler code merged with rainbow-metrics project,Mike,Merged OK; check with Mike on Logger errors,03/25/14,11:00:52,
2014/03/25,11:03:43,2014/03/25,15:00:00,Business,3,FortifyParser unzip the fpr files passed in and process the audit.fvdl and audit.xml file pairs,Mike,Completed zip; need to test delete audit.fvdl and audit.xml,03/25/14,17:45:32,Late
2014/03/25,17:45:41,2014/03/26,09:00:00,Business,3,FortifyParser: test delete files audit.fvdl and audit.xml,Mike,Check with Mike why too many .fpr files are processed.,03/26/14,08:08:33,
2014/03/26,10:36:24,2014/03/26,12:00:00,Business,3,DR documents (GEFS.ppt; Infrastructure; cloud),Peggy,email with links sent to DR group.,03/26/14,10:55:32,
2014/03/25,17:46:33,2014/03/26,07:00:00,Business,3,FortifyParser: Change Metadata files to resource or constants,Mike,Completed and checked in.,03/26/14,12:02:11,Late
2014/03/26,16:45:56,2014/03/27,07:00:00,Business,3,Task Track: Add Change(Double Click); Delete to Daily Tasks. Add daily tasks once a day,Task Track-Forrest,Added all Daily Task Track functionality,03/27/14,12:10:49,Late
2014/03/21,15:08:30,2014/03/27,08:00:00,Business,3,B-Edit - ASA CSV Consolidation,Veena,Original Program Complete - Still need XLS -> CSV Conversion,03/28/14,12:35:13,Late
2014/03/27,16:03:28,2014/03/28,07:00:00,Business,3,iPas acronym?,Asif,IBM Pure Application System-http://www.ibm.com/ibm/puresystems/us/en/pf_pureapplication.html\,03/28/14,12:45:37,Late
2014/03/27,16:01:17,2014/03/28,18:00:00,Business,3,FortifyParser unzip/remove/tagslist refactor soon,Mike,Mike refactored other Rainbow XML parsing; will use the same.,03/28/14,14:34:00,
2014/03/28,07:09:56,2014/03/28,13:00:00,Personal,3,Rock Drawing,Monika,Drawn,03/28/14,15:45:46,Late
2014/03/25,07:58:00,2014/03/28,07:00:00,Business,3,Setup Michigan Trip,,Record Locator (PNR): EINABI; 4/14 Delta 142 1:00-3:39  Seat 40F; 4/16 Delta 511 5:33-6:26 Seat 21F; Courtyard by Marriot 88269752; Hertz G15849720D3,03/28/14,16:53:14,Late
2014/03/24,14:40:22,2014/03/31,16:00:00,Personal,2,Bathroom Paint,Liz,Finished painting bathroom 3/30; need to install hardware tonight,03/31/14,07:46:44,
2014/03/28,15:29:04,2014/03/31,10:00:00,Business,1,Mexico Ordering High Level Architecture,Angelo,Sent to Angelo: C:\Users\213000864\Documents\Docu\architecture\Ordering\Mexico\2014\MexicoOrdering2014.ppt,03/31/14,09:45:23,
2014/03/27,15:54:29,2014/03/31,10:00:00,Business,3,Peggy 36 Years at GE!,Peggy,Congratulated Peggy this morning; actual date is April 12th,03/31/14,09:46:10,
2014/03/28,16:54:59,2014/03/31,07:00:00,Business,3,Michigan B-Edit/Fleet Overview Meetings Setup,Jose/Craig,Worked with Gurvinder to setup meetings for: @GE AMSTC Fleet <amstc.fleet@ge.com>,03/31/14,10:46:37,Late
2014/03/31,10:00:59,2014/03/31,15:00:00,Business,3,Fleet business contact for asset tracking,Tom Chess; Jennifer Lawrence,Mike Magnusson recommended Kimberly Clark (Kim Clark would be the best person.),03/31/14,13:06:12,
2014/03/31,11:27:01,2014/04/01,13:00:00,Business,3,Torchlight 5K Signup for Forrest and Jess/Louella,Fitness Center,Signed Forrest and Jess up today ($30 total for both of us). If Jess can't run; then Louella will use Jess' bib.,03/31/14,13:07:29,
2014/03/31,07:47:57,2014/03/31,16:00:00,Business,3,Properties Push - System Design,Josh Hennagir; Jaromir Kosar,Initial Screen Layout (Remote Property Maintenance-RPM),03/31/14,15:51:52,
2014/03/31,16:49:34,2014/04/01,16:00:00,Business,3,ASA: Add Summary File,Veena,Created Summary Total CSV in ASA.BED,04/01/14,08:35:49,
2014/03/28,12:51:13,2014/04/01,18:00:00,Business,3,ASA - Convert XLS to CSV for processing?,Veena,Vivek Mahajan will create CSV from Jenkins,04/01/14,16:25:51,
2014/04/01,08:36:31,2014/04/01,17:00:00,Personal,3,Rock Draw - Virgin Mary,Bianca,Drawn,04/01/14,16:55:22,
2014/03/31,14:39:07,2014/04/02,16:00:00,Business,3,ASA - Add Summary File,Veena,Finished 3/31/2014,04/02/14,07:29:34,
2014/03/31,15:51:55,2014/04/03,16:00:00,Business,3,RPM Screen Review,Josh Hennagir; Jaromir Kozar,Reviewed with Josh AM; change to allow duplicate file/server,04/03/14,10:36:17,
2014/04/03,16:05:35,2014/04/04,07:00:00,Business,2,Add "Debug" button to Builder System - B-Edit Windows,Forrest,Finished in 15 minutes,04/04/14,10:32:32,Late
2014/04/02,07:29:58,2014/04/04,13:00:00,Business,3,Range this weekend?,Josh,We'll go Sunday,04/04/14,18:06:07,Late
2014/04/07,07:52:18,2014/04/07,11:00:00,Business,2,Fleet Initiatives - Password Compliance Gaps - Review Needs,Angelo,Siteminder changes needed for IDAMS apps. Legacy (Ordering/Personal Mileage) apps in progress. Angelo will send info on all (Ramu and Laksmipathy involved).,04/07/14,09:41:18,
2014/03/11,14:00:00,2014/04/07,07:00:00,Personal,2,GEFS Golf League Signup,Jennifer Miller,Paid 10:00 4/7/2014,04/07/14,09:59:47,Late
2014/04/07,14:22:54,2014/04/07,16:00:00,Personal,3,Get-in-Gear Pickup Date?,Puneeta,Packet Pick-up at Minnehaha Park Pavilion; Friday; April 25; from Noon - 8:00 pm,04/07/14,14:59:29,
2014/04/07,15:09:38,2014/04/07,17:00:00,Personal,2,Biking URL for Dale,Mike/Dale,Mike said the Greenway is great; just a few puddles,04/07/14,15:21:06,
2014/03/24,17:05:38,2014/04/03,14:00:00,Personal,2,ESTA for Louella: http://travel.state.gov/content/visas/english/visit/visa-waiver-program.html; https://esta.cbp.dhs.gov/esta/esta.html,Louella,Louella said she's already taken care of it!,04/08/14,13:04:54,Late
2014/04/01,13:04:16,2014/04/08,14:00:00,Business,2,Sue lunch tomorrow,Sue Hjerpe,Ride to work tomorrow; I'll need a ride to the restaurant,04/08/14,17:05:35,Late
2014/03/16,11:39:34,2014/04/08,07:00:00,Personal,3,Soup Super on Wednesday 4/9,St Peders,Bought groceries 4/8 $40.44,04/09/14,07:39:55,Late
2014/04/09,10:36:12,2014/04/09,12:00:00,Business,3,Award for B-Edit ASA System - Gift Selection; and Thank you to Veena!,Veena,Redlobster $100,04/10/14,07:44:49,Late
2014/04/08,12:56:55,2014/04/08,07:00:00,Personal,3,Get-in-Gear Packet Pickup is on Friday 4/25,Puneeta,Talked to Puneeta on walk to parking lot,04/10/14,07:45:12,Late
2014/04/07,07:54:23,2014/04/10,09:00:00,Personal,2,Jesus Christ Superstart Friday Night Tickets,Olivia,Text to Olivia; Liz will reserve 3 seats,04/10/14,07:50:01,
