futuretense.ini[../cacmsmDev_fatwire] Properties,Compare,cmfalgadfw01v[cacmsmdev],cmfalgadfw01v[cacmsddev]
av.cjkquery,,"no","no",""
av.defaultindex,,"","",""
av.license,,"","",""
av.oemkeytype,,"delivery","delivery",""
bs.bCacheSize,,"500","500",""
bs.bCacheTimeout,Difference,"-1","3600",""
bs.invalidheadernames,,"Set-Cookie","Set-Cookie",""
bs.security,,"false","false",""
bs.validheadernames,,"","",""
catalogcentre.version,,"11.1.1.6.0","11.1.1.6.0",""
cc.AssetTypeCSz,Difference,"500","50",""
cc.BlobServerCacheCSz,,"1000","1000",""
cc.BlobServerTimeout,,"1440","1440",""
cc.CategoryCSz,Difference,"500","50",""
cc.ComparatorsKey,,"name","name",""
cc.ElementCatalogCSz,Difference,"8000","1000",""
cc.ElementCatalogTimeout,,"60","60",""
cc.FiltersKey,,"name","name",""
cc.MimeTypeKey,,"extension","extension",""
cc.PreviewgenKey,,"name","name",""
cc.SiteCatalogCSz,Difference,"5000","1000",""
cc.SiteCatalogTimeout,,"60","60",""
cc.SourceKey,,"source","source",""
cc.StatusCodeCSz,,"10","10",""
cc.StatusCodeKey,,"statuscode","statuscode",""
cc.SystemACLCSz,Difference,"50","25",""
cc.SystemACLTimeout,,"-1","-1",""
cc.SystemInfoCSz,Difference,"2000","500",""
cc.SystemInfoTimeout,,"-1","-1",""
cc.SystemPageCacheCSz,,"10000","10000",""
cc.SystemPageCacheTimeout,,"1440","1440",""
cc.SystemUsersCSz,Difference,"1000","100",""
cc.SystemUsersTimeout,,"-1","-1",""
cc.bigint,,"NUMBER(38)","NUMBER(38)",""
cc.bigtext,,"CLOB","CLOB",""
cc.blob,,"BLOB","BLOB",""
cc.cacheNoSync,,"false","false",""
cc.cacheResults,Difference,"5000","500",""
cc.cacheResultsAbs,,"false","false",""
cc.cacheResultsTimeout,,"60","60",""
cc.char,,"CHAR","CHAR",""
cc.contentkey,,"id","id",""
cc.datepicture,,"{ts '$date'}","{ts '$date'}",""
cc.datetime,,"TIMESTAMP","TIMESTAMP",""
cc.double,,"NUMBER(38,10)","NUMBER(38,10)",""
cc.forcelower,,"true","true",""
cc.ignoreTblCase,,"yes","yes",""
cc.integer,,"NUMBER(10)","NUMBER(10)",""
cc.maxvarcharsize,,"2000","2000",""
cc.null,,"NULL","NULL",""
cc.numeric,,"NUMBER","NUMBER",""
cc.primary,,"PRIMARY KEY NOT NULL","PRIMARY KEY NOT NULL",""
cc.queryablemaxvarcharlength,,"2000","2000",""
cc.rename,,"rename %1 to %2","rename %1 to %2",""
cc.security,,"true","true",""
cc.smallint,,"NUMBER(5)","NUMBER(5)",""
cc.stringpicture,,"'$string'","'$string'",""
cc.unique,,"UNIQUE NOT NULL","UNIQUE NOT NULL",""
cc.varchar,,"VARCHAR","VARCHAR",""
commerceconnector.version,,"11.1.1.6.0","11.1.1.6.0",""
cookieserver.invalidnames,,"Set-Cookie","Set-Cookie",""
cs.HTTP_HOST,,"","",""
cs.HTTP_PROTOCOL,,"","",""
cs.IItemList,,"com.openmarket.xcelerate.publish.MyItemList","com.openmarket.xcelerate.publish.MyItemList",""
cs.PastramiEngine,,"","",""
cs.alwaysusedisk,,"no","no",""
cs.barEqualsSlash,,"false","false",""
cs.batchtimeout,,"360000","360000",""
cs.charset,,"_charset_","_charset_",""
cs.contenttype,,"text/html; charset\=UTF-8","text/html; charset\=UTF-8",""
cs.cookievariables,,"false","false",""
cs.csdtfolder,Difference,"/fwshare/j2ee/tomcat/redhat/ews/cacmsmDev_fatwire/export","/fwshare/j2ee/tomcat/redhat/ews/cacmsdDev_fatwire/export",""
